image_id,question,answer,path
718mYsQTQbL,What shape are these items?,Triangle,4c/4c533ad7.jpg
718mYsQTQbL,What fruit is on the bottom right bib?,Lemons,4c/4c533ad7.jpg
718mYsQTQbL,What color is the bib on the bottom center?,Yellow,4c/4c533ad7.jpg
718mYsQTQbL,How many bibs are visible?,Six,4c/4c533ad7.jpg
718mYsQTQbL,What pattern is on the top left bib?,Stripes,4c/4c533ad7.jpg
81lg2wto16L,How many tiers?,Three,84/840d65e6.jpg
81lg2wto16L,What is the rack material?,Metal,84/840d65e6.jpg
81lg2wto16L,Is the rack assembled?,Yes,84/840d65e6.jpg
81lg2wto16L,What shape are the racks?,Square,84/840d65e6.jpg
81lg2wto16L,How many wheels?,Four,84/840d65e6.jpg
71R4R6x-tjL,What color is the phone case?,Orange,e2/e2bb14f8.jpg
71R4R6x-tjL,What is the design on the case?,Number,e2/e2bb14f8.jpg
71R4R6x-tjL,How many cameras does the phone have?,One,e2/e2bb14f8.jpg
71R4R6x-tjL,What number is printed?,Eight,e2/e2bb14f8.jpg
71R4R6x-tjL,What material is the number made of?,Metal,e2/e2bb14f8.jpg
71QSAxIJagL,What is the moon's color?,Yellow,2e/2edfcd91.jpg
71QSAxIJagL,What object is depicted?,Phone,2e/2edfcd91.jpg
71QSAxIJagL,Is the case dark?,Yes,2e/2edfcd91.jpg
71QSAxIJagL,What is the pattern?,Tree,2e/2edfcd91.jpg
71QSAxIJagL,Is the tree bare?,No,2e/2edfcd91.jpg
91UiRD6UcHL,What color is the chaise?,Grey,37/37157509.jpg
91UiRD6UcHL,What furniture piece is this?,Daybed,37/37157509.jpg
91UiRD6UcHL,How many legs are visible?,Four,37/37157509.jpg
91UiRD6UcHL,What is the frame made of?,Wood,37/37157509.jpg
91UiRD6UcHL,Is there a pillow present?,Yes,37/37157509.jpg
81n2w4Ne0yL,What kind of meat is in the dinner?,Beef,73/7339dbbd.jpg
81n2w4Ne0yL,Is the food grain free?,Yes,73/7339dbbd.jpg
81n2w4Ne0yL,What animal is pictured?,Cat,73/7339dbbd.jpg
