path,question,answer,prediction
d1/d19cedfc.jpg,Is the background white?,Yes,yes
46/462020b0.jpg,What shape are the decorations?,Spheres,oval
69/69c0c117.jpg,How many stripes are blue?,One,2
4b/4b550411.jpg,Is the harness reflective?,Yes,yes
3a/3a7b22f5.jpg,Is there a unicorn design?,Yes,yes
c3/c3563134.jpg,What shape are they?,Curved,curved
04/040353c9.jpg,What is the text color?,Gold,it
c7/c746b7f8.jpg,What is the amount in ml?,400,very
68/68e1b27b.jpg,What type of shoe is this?,Sandal,flip
f1/f146fc5f.jpg,Is it a back cover?,Yes,yes
e3/e3c311e3.jpg,What shape are the earrings?,Oval,oval
2a/2a54a56b.jpg,What shape is stand?,Oval,oval
2c/2c4d06bc.jpg,What is the footwear's primary color?,Blue,blue
8b/8bfa3f68.jpg,What color is the hair of the girl on the right?,Red,blonde
cd/cd8748a7.jpg,What is the gem's color?,Blue,yes
62/6277f5e1.jpg,What flavor is the yogurt?,Strawberry,no
71/7104fa77.jpg,What is the sofa's color?,Copper,brown
5d/5dfc4822.jpg,Are there shoes visible?,Yes,yes
81/81ec59da.jpg,What is the brand?,Mamabear,yes
69/698f3492.jpg,What is the image's background?,Forest,trees
51/51dcc59a.jpg,What color is the cart?,Black,black
30/303afe7b.jpg,What is the brand name?,Vedaka,no
53/538117ea.jpg,What is the sole color?,White,white
6e/6e896c06.jpg,What material are gloves made of?,Nitrile,rubber
fc/fcd46caa.jpg,Is this folded?,Yes,yes
90/908bb8fd.jpg,What color is the border?,Navy,white
29/2918336b.jpg,Are laces visible?,Yes,yes
0f/0fa9dbe6.jpg,What item is in the image?,Case,hand
3a/3aa2a59f.jpg,What is the material of the rug?,Carpet,persian
15/15857464.jpg,What is the button covering?,Phone,yes
c5/c518bae4.jpg,What word is in cursive?,Girl,no
49/49a9d1b5.jpg,Is this patterned?,Yes,yes
5f/5f3e8a1d.jpg,What is the shoe's closure?,Buckle,yes
fa/faa9dc61.jpg,What is the object's purpose?,Stopping,no
73/73773acd.jpg,What animal is printed?,Dog,yes
80/80c9ba21.jpg,Does the bag have straps?,Yes,yes
00/0094c9d8.jpg,What is packed inside the icepacks?,Gel,no
87/87c11ce5.jpg,Are the pillows identical?,Yes,yes
6e/6e51d081.jpg,What is the supplement's name?,Bromelain,yes
ba/ba0b5943.jpg,What color is the cap?,Black,black
9d/9dcfaf06.jpg,How many lenses are visible?,Three,0
f2/f2da3601.jpg,What is the footwear's type?,Shoes,no
5a/5ada3a8a.jpg,What is the shape of the petals?,Round,oval
7b/7bf5f3e0.jpg,What material is the cable?,Metal,metal
4a/4a01c9a6.jpg,How many shoes are there?,One,one
86/864071d3.jpg,What shape is the rug?,Rectangle,rec
d5/d52bff52.jpg,What color are the flowers?,Orange,no
70/70031859.jpg,What color is the case?,Pink,yes
f2/f2eaee69.jpg,What unit of measure is shown?,oz,measuring
91/9104d386.jpg,How many speakers are visible?,Two,2
ee/ee6add1d.jpg,What color is the label?,Green,no
03/03c39be1.jpg,What shape are the screens?,Rectangle,rectangular
9b/9b332909.jpg,Is the sole visible?,Yes,no
d9/d9c2bd8c.jpg,What letter is displayed?,T,yes
2c/2cb75b24.jpg,What is the shape?,Rectangle,rectangular
c6/c6889ed4.jpg,What is the scene depicted?,Desert,no
f0/f0270bfa.jpg,How many bibs are shown?,Seven,6
eb/eb27ed97.jpg,What is the case's brand?,Amazon,yes
55/552f59b8.jpg,Is the case transparent?,Yes,no
b0/b0d40c15.jpg,Are the shoes flat?,No,no
4a/4a6d7f83.jpg,What is the shape of the earrings?,Infinity,oval
8b/8bff2b99.jpg,What is the color of the upper?,Brown,brown
