image_id,question,answer,path
71owAzvPFuL,What shape is hanging down?,Teardrop,cd/cd58ca00.jpg
71owAzvPFuL,What pattern is on the cover?,Yinyang,cd/cd58ca00.jpg
71owAzvPFuL,What color is the heart?,Red,cd/cd58ca00.jpg
71owAzvPFuL,What is the item?,Case,cd/cd58ca00.jpg
71owAzvPFuL,Is the cover dark?,Yes,cd/cd58ca00.jpg
A114ZfnM0dL,What color is this?,Grey,7d/7d23e11c.jpg
A114ZfnM0dL,Is the fabric smooth?,No,7d/7d23e11c.jpg
A114ZfnM0dL,What material is shown?,Fabric,7d/7d23e11c.jpg
A114ZfnM0dL,Is the texture rough?,Yes,7d/7d23e11c.jpg
A114ZfnM0dL,Is it a solid color?,Yes,7d/7d23e11c.jpg
816oDloCY4L,What is the brand name?,365,da/daf6af7d.jpg
816oDloCY4L,What covers the raisins?,Chocolate,da/daf6af7d.jpg
816oDloCY4L,What kind of chocolate?,Dark,da/daf6af7d.jpg
816oDloCY4L,What are the raisins made with?,Fruit,da/daf6af7d.jpg
816oDloCY4L,Is the product organic?,No,da/daf6af7d.jpg
71GmYaibrUL,What is the case's pattern?,Feather,da/da95e9f8.jpg
71GmYaibrUL,What is the color of the feather's eye?,Blue,da/da95e9f8.jpg
71GmYaibrUL,What kind of phone accessory is shown?,Case,da/da95e9f8.jpg
71GmYaibrUL,Is the case clear or opaque?,Clear,da/da95e9f8.jpg
71GmYaibrUL,What is the case design's theme?,Peacock,da/da95e9f8.jpg
91w54-A-WFL,What kind of food is this?,Hummus,4a/4a351342.jpg
91w54-A-WFL,What brand is this product?,Engine,4a/4a351342.jpg
91w54-A-WFL,What size is the product?,Eight,4a/4a351342.jpg
91w54-A-WFL,What is the color of the label?,Red,4a/4a351342.jpg
91w54-A-WFL,Is it perishable?,Yes,4a/4a351342.jpg
81zn9-YQMoL,What animal is on the case?,Tiger,64/646bc8b4.jpg
81zn9-YQMoL,What is the case's pattern?,Stripes,64/646bc8b4.jpg
81zn9-YQMoL,Is the tiger walking?,Yes,64/646bc8b4.jpg
81zn9-YQMoL,What is behind the tiger?,Trees,64/646bc8b4.jpg
81zn9-YQMoL,Is the background green?,Yes,64/646bc8b4.jpg
71CFzh9TsmL,What color is the cable?,Blue,21/2161a9d3.jpg
71CFzh9TsmL,What shape is the hub?,Round,21/2161a9d3.jpg
71CFzh9TsmL,What color is the hub?,Black,21/2161a9d3.jpg
71CFzh9TsmL,How many ports are visible?,Two,21/2161a9d3.jpg
71CFzh9TsmL,Is the hub elevated?,Yes,21/2161a9d3.jpg
71ZvfOQeA1L,What color is the case?,Black,59/59ebb348.jpg
71ZvfOQeA1L,What shape is the heart?,Love,59/59ebb348.jpg
71ZvfOQeA1L,What is written on the case?,Words,59/59ebb348.jpg
71ZvfOQeA1L,How many hearts are there?,Two,59/59ebb348.jpg
71ZvfOQeA1L,What is the print color?,Gold,59/59ebb348.jpg
71pMx8XF7jL,What is the color of the eye?,Blue,37/37973ed4.jpg
71pMx8XF7jL,What is on the phone case?,Lion,37/37973ed4.jpg
71pMx8XF7jL,What is the case's background color?,Clear,37/37973ed4.jpg
71pMx8XF7jL,How many buttons are visible?,Zero,37/37973ed4.jpg
71pMx8XF7jL,Is the case colorful?,Yes,37/37973ed4.jpg
81-Mc+si5lL,What pattern is on the plates?,Dots,22/2229b934.jpg
81-Mc+si5lL,What is the color of some of the dots?,Red,22/2229b934.jpg
81-Mc+si5lL,How many stacks are present?,Three,22/2229b934.jpg
81-Mc+si5lL,What shape are the plates?,Round,22/2229b934.jpg
81-Mc+si5lL,Are there more bowls or plates?,Bowls,22/2229b934.jpg
71kABojPzrL,What is the background color?,Red,fc/fc26a2d6.jpg
71kABojPzrL,What shape are the designs?,Hearts,fc/fc26a2d6.jpg
71kABojPzrL,Are the hearts red?,No,fc/fc26a2d6.jpg
71kABojPzrL,How many cameras are visible?,Three,fc/fc26a2d6.jpg
71kABojPzrL,Is the case shiny?,Yes,fc/fc26a2d6.jpg
710n5kD-nwL,What shape is on the cover?,Heart,d2/d2002829.jpg
710n5kD-nwL,What is the background color?,Black,d2/d2002829.jpg
710n5kD-nwL,What is the pattern type?,Floral,d2/d2002829.jpg
710n5kD-nwL,Is the case glossy?,No,d2/d2002829.jpg
710n5kD-nwL,Are the hearts 2D?,No,d2/d2002829.jpg
81jLtuNmAaL,What is the pattern's color?,Multicolor,59/599486df.jpg
81jLtuNmAaL,What is the object in the image?,Case,59/599486df.jpg
81jLtuNmAaL,Is there a camera?,Yes,59/599486df.jpg
81jLtuNmAaL,Is the case hard?,Yes,59/599486df.jpg
81jLtuNmAaL,Is the case printed?,Yes,59/599486df.jpg
81HFxsNEjfL,What is the sole's color?,White,54/545e80eb.jpg
81HFxsNEjfL,What is the product type?,Shoes,54/545e80eb.jpg
81HFxsNEjfL,What is the shoe material?,Suede,54/545e80eb.jpg
81HFxsNEjfL,What is the shoe color?,Grey,54/545e80eb.jpg
81HFxsNEjfL,What is the shoe style?,Chukka,54/545e80eb.jpg
81+MYBeScXL,What is the shoe's color?,Brown,f6/f6071541.jpg
81+MYBeScXL,What kind of footwear?,Shoes,f6/f6071541.jpg
81+MYBeScXL,Are the shoes laced?,No,f6/f6071541.jpg
81+MYBeScXL,Is the shoe shiny?,Yes,f6/f6071541.jpg
81+MYBeScXL,What material?,Leather,f6/f6071541.jpg
71+lIQxQchL,What color are the laces?,Black,cb/cbf0c453.jpg
71+lIQxQchL,What is written on the side?,Klepe,cb/cbf0c453.jpg
71+lIQxQchL,What is the shoe's material?,Mesh,cb/cbf0c453.jpg
71+lIQxQchL,What is the sole color?,White,cb/cbf0c453.jpg
71+lIQxQchL,What is the accent color?,Red,cb/cbf0c453.jpg
81nl28bcHCL,What shape is the tabletop?,Round,16/1659b6b5.jpg
81nl28bcHCL,What material is the table made of?,Wicker,16/1659b6b5.jpg
81nl28bcHCL,How many legs does this table have?,Three,16/1659b6b5.jpg
81nl28bcHCL,Is there a shelf under the table?,Yes,16/1659b6b5.jpg
81nl28bcHCL,What color is the table?,Brown,16/1659b6b5.jpg
81YtNZSUaEL,What color is the cartridge?,Black,ea/ea86f72e.jpg
81YtNZSUaEL,Is the box cardboard?,Yes,ea/ea86f72e.jpg
81YtNZSUaEL,What is beside the cartridge?,Box,ea/ea86f72e.jpg
81YtNZSUaEL,What shape is the container?,Rectangular,ea/ea86f72e.jpg
81YtNZSUaEL,Is the product new?,No,ea/ea86f72e.jpg
A1iPFSCVj6L,What is the predominant color?,Gray,84/84a08e73.jpg
A1iPFSCVj6L,Does the material appear smooth?,No,84/84a08e73.jpg
A1iPFSCVj6L,Is there a pattern present?,Yes,84/84a08e73.jpg
A1iPFSCVj6L,Does the material appear textured?,Yes,84/84a08e73.jpg
A1iPFSCVj6L,Does the material look transparent?,No,84/84a08e73.jpg
71n0fcNLj3L,How many drawers are there?,Three,37/377883a7.jpg
71n0fcNLj3L,What shape are the legs?,Tapered,37/377883a7.jpg
71n0fcNLj3L,What material is the object?,Wood,37/377883a7.jpg
71n0fcNLj3L,How many sections does the object have?,Two,37/377883a7.jpg
71n0fcNLj3L,What is the object's orientation?,Horizontal,37/377883a7.jpg
71JPJNOfQgL,What is the blanket's color?,White,ea/eaf4cb61.jpg
71JPJNOfQgL,What material is the blanket?,Chenille,ea/eaf4cb61.jpg
71JPJNOfQgL,Is the blanket folded?,Yes,ea/eaf4cb61.jpg
71JPJNOfQgL,What pattern is on the blanket?,Knitted,ea/eaf4cb61.jpg
71JPJNOfQgL,What is this item?,Blanket,ea/eaf4cb61.jpg
71DZlICc0PL,What color is the object?,Beige,77/77b20ce2.jpg
71DZlICc0PL,What shape is the base?,Square,77/77b20ce2.jpg
71DZlICc0PL,Is the object indoors?,Yes,77/77b20ce2.jpg
71DZlICc0PL,What is on the posts?,Rope,77/77b20ce2.jpg
71DZlICc0PL,How many posts are visible?,Two,77/77b20ce2.jpg
71ck-9Co41L,What color is dominant?,Blue,56/56e49f7c.jpg
71ck-9Co41L,What is the item?,Case,56/56e49f7c.jpg
71ck-9Co41L,Is there yellow color?,Yes,56/56e49f7c.jpg
71ck-9Co41L,What is the cover's design?,Abstract,56/56e49f7c.jpg
71ck-9Co41L,Is the object rectangular?,Yes,56/56e49f7c.jpg
71+y71pQZoL,What color is the bed?,Black,3b/3be12664.jpg
71+y71pQZoL,What is the bed made of?,Metal,3b/3be12664.jpg
71+y71pQZoL,Is there a footboard?,No,3b/3be12664.jpg
71+y71pQZoL,What shape are the headboard bars?,Rectangular,3b/3be12664.jpg
71+y71pQZoL,What is supporting the mattress?,Slats,3b/3be12664.jpg
71eqnT2HeFL,What shape is hanging?,Heart,6b/6baa9dea.jpg
71eqnT2HeFL,What is the color of the ribbon?,Pink,6b/6baa9dea.jpg
71eqnT2HeFL,What is the item?,Case,6b/6baa9dea.jpg
71eqnT2HeFL,What material is on the left?,Lace,6b/6baa9dea.jpg
71eqnT2HeFL,What is behind the heart?,Wood,6b/6baa9dea.jpg
71ti-oKuTrL,What is the boot's color?,Black,a1/a15b9082.jpg
71ti-oKuTrL,What is the sole color?,Brown,a1/a15b9082.jpg
71ti-oKuTrL,What footwear is shown?,Boots,a1/a15b9082.jpg
71ti-oKuTrL,Is the boot shiny?,Yes,a1/a15b9082.jpg
71ti-oKuTrL,How many boots are shown?,One,a1/a15b9082.jpg
61a1KzPpX+L,What shape are the earrings?,Round,c7/c7899ef7.jpg
61a1KzPpX+L,What is the color of metal?,Silver,c7/c7899ef7.jpg
61a1KzPpX+L,How many earrings are visible?,Two,c7/c7899ef7.jpg
61a1KzPpX+L,What material is in the center?,Diamond,c7/c7899ef7.jpg
61a1KzPpX+L,Are the earrings shiny?,Yes,c7/c7899ef7.jpg
71Yr7+6HCKL,What is the cover's background color?,Blue,07/0798fba1.jpg
71Yr7+6HCKL,What insects are pictured?,Butterflies,07/0798fba1.jpg
71Yr7+6HCKL,How many butterflies are shown?,Three,07/0798fba1.jpg
71Yr7+6HCKL,Is the case flexible?,Yes,07/0798fba1.jpg
71Yr7+6HCKL,What is covering the phone?,Case,07/0798fba1.jpg
71V2y6Qh4RL,What is the case's design?,Abstract,14/14933fc9.jpg
71V2y6Qh4RL,What is the case's brand?,Amazon,14/14933fc9.jpg
71V2y6Qh4RL,What is the phone case material?,Hard,14/14933fc9.jpg
71V2y6Qh4RL,Is the design 3D?,Yes,14/14933fc9.jpg
71V2y6Qh4RL,What is the color?,Multicolor,14/14933fc9.jpg
71+DEOvOtyL,What is the case's background color?,Pink,8b/8b9f4528.jpg
