path,question,answer,prediction
ca/ca061f93.jpg,What is the dresser's color?,brown,it
c9/c9a51ea0.jpg,What is the girl holding?,camera,yes
7c/7cc182ae.jpg,What is the shape?,round,oval
4f/4f7a7d70.jpg,Is this phonecase colorful?,yes,yes
5e/5e60b0a8.jpg,What shape are the gems?,round,oval
ec/ec0ea996.jpg,What pattern is displayed?,face,no
49/497701bf.jpg,What animal is printed on the phone case?,lion,yes
82/8279c293.jpg,What type of material is it?,leather,leather
70/70c87e7e.jpg,What angle are the objects?,horizontal,slightly
d1/d160d59a.jpg,What pattern is behind the buildings?,triangles,no
d4/d42e4c8e.jpg,What is pictured?,landscape,no
c2/c26158ca.jpg,What color is the top?,yellow,no
0e/0e94d5e5.jpg,What is the product?,suitcase,no
28/28d46ac9.jpg,What metal is visible?,gold,metal
42/4228c1bd.jpg,What is the tree's base?,green,no
19/19dfe772.jpg,Is the vegetation green?,yes,yes
71/71ae33d1.jpg,What is the case color?,black,black
52/525b1f6e.jpg,Is there a tie?,yes,yes
7b/7b2cde5e.jpg,What is on the phone case?,car,yes
65/654f3110.jpg,Are there laces?,yes,yes
38/3839f5f6.jpg,What is the bulb's color?,white,white
c0/c0539c8a.jpg,What clothing is pictured?,leggings,woman
20/203ed1e2.jpg,What is the orientation?,vertical,no
b4/b496c530.jpg,What is the pattern?,waves,yes
df/df9da3ad.jpg,What color is the boot?,black,black
9f/9f089657.jpg,What is the pattern's color?,white,black
9e/9e3e7db4.jpg,Is this object rectangular?,yes,yes
a7/a74a5faf.jpg,What is the item's type?,screen,yes
55/55f4c3f4.jpg,Is this toy primarily blue?,yes,yes
ec/ec5c4971.jpg,Is the phone case shiny?,no,yes
83/83d68805.jpg,How many tiers exist?,10,10
d8/d82e8bc7.jpg,Is the object on a background?,yes,no
d2/d2a5e306.jpg,What color is the trim?,taupe,brown
e8/e84f3700.jpg,What unit is the weight measured in?,lbs,no
36/368c6bbf.jpg,What object is printed on the case?,headphones,yes
81/81644292.jpg,What material are the boots made of?,suede,leather
13/13f91077.jpg,Are the shoes laced?,yes,yes
09/099a68bc.jpg,Are the lights coiled?,yes,yes
07/072e3a48.jpg,What shape is it?,rectangular,rec
33/337e63c9.jpg,What is the object?,necklace,yes
d7/d79d3b2c.jpg,What is the object's background?,leaves,no
5f/5f053f4d.jpg,What shape are the hearts?,heart,oval
52/52a1a003.jpg,What material are they?,glass,glass
